"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"52.222.143.3","192.168.119.140",6,552,2,210,4,342,0.08408846,4.238259873,396.3890960774977,645.5479564690677
"104.18.40.122","192.168.119.140",15,1044,7,495,8,549,0.572371407,2.690610741,1471.784803225834,1632.343145395925
"151.101.130.133","192.168.119.140",21,5399,10,4265,11,1134,1.3250440989999999,0.3115889150000002,109503.25366998366,29115.28479759941
"172.64.147.134","192.168.119.140",7,534,3,240,4,294,2.690441413,0.2848223670000003,6741.043620355834,8257.778434935897
"192.168.119.140","199.232.194.133",485,328357,201,18111,284,310246,3.30832527,5.588708681000001,25925.130163355527,444104.0214599083
"108.156.68.207","192.168.119.140",3,276,1,105,2,171,4.705474525,0.032064692000000505,26197.039410201938,42663.74989661458
"13.227.219.42","192.168.119.140",21,8071,10,6940,11,1131,8.25836579,0.37136959600000097,149500.66079184323,24363.86849503958

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"104.16.66.85","192.168.119.140",992,695660,530,663461,462,32199,0,10.810086108,490994.0537913058,23828.857367691933
"172.217.168.228","192.168.119.140",2,132,1,66,1,66,4.894745621,0.04115629200000015,12829.144083242438,12829.144083242438
"104.16.148.64","192.168.119.140",15,4410,6,3491,9,919,6.709715335,2.4745767569999995,11285.970387056377,2971.013115355145
"104.16.149.64","192.168.119.140",16,4463,7,3544,9,919,7.367413189,1.9201585410000002,14765.447432915904,3828.8505053187687
"13.227.219.26","192.168.119.140",20,5496,9,4364,11,1132,8.13297096,1.4213993240000011,24561.711413899597,6371.186370424918

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"34.117.237.239","192.168.119.140",6,552,2,210,4,342,0,0.782338023,2147.409368597185,3497.209543143987
"104.18.40.122","192.168.119.140",3,240,1,93,2,147,0.786050641,0.023025032000000056,32312.658675132272,51074.84758327359
"142.251.36.4","192.168.119.140",2,132,1,66,1,66,1.368428817,0.04116093299999979,12827.697564581511,12827.697564581511

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.217.168.228","192.168.119.140",36,11832,17,9742,19,2090,0,10.499093624,7423.116965244047,1592.5184209977476
"192.168.119.140","199.232.194.133",4,356,2,178,2,178,1.894220417,0.04663251999999973,30536.629802549982,30536.629802549982
"90.216.129.62","192.168.119.140",25,8988,12,7603,13,1385,2.448454241,0.48552720900000024,125274.1326799668,22820.554223563595
"192.0.77.48","192.168.119.140",61,4011,31,2184,30,1827,4.667024604,6.638316323,2631.9926845703585,2201.763111130973
"13.227.209.198","192.168.119.140",4,342,2,171,2,171,4.773194696,0.03779076799999981,36199.317251239954,36199.317251239954
"34.117.237.239","192.168.119.140",10,894,4,381,6,513,4.77718518,7.236367988,421.20577685580247,567.1353373412774
"23.198.19.183","192.168.119.140",170,91411,92,83724,78,7687,4.87560295,7.551489040999999,88696.67907394638,8143.559457759135
"104.81.141.56","192.168.119.140",26,7398,12,6087,14,1311,10.59250846,0.5528787299999998,88077.18104836484,18969.801931067243
"13.227.219.96","192.168.119.140",22,7588,10,6385,12,1203,10.593858049,0.7042200370000007,72534.14744857643,13666.183144970626
"52.222.139.54","192.168.119.140",22,6651,10,5451,12,1200,10.595070449,0.6470019019999995,67400.11098143578,14837.668900701326
"88.221.25.169","192.168.119.140",22,5762,10,4573,12,1189,11.277887957,0.5094961159999993,71804.27652170767,18669.425931403985
"84.53.175.11","192.168.119.140",96,23516,44,18564,52,4952,11.279310045999999,1.5361731720000016,96676.60046858301,25788.759185543153
"157.240.247.8","192.168.119.140",19,5159,8,4025,11,1134,11.299048976,0.7731254060000001,41649.12930050574,11734.189472490312
"13.227.219.54","192.168.119.140",22,7584,10,6380,12,1204,11.339583506,0.707201143999999,72171.82895281073,13619.887470091555
"88.221.25.153","192.168.119.140",24,5879,11,4641,13,1238,12.340755098,0.43372192199999837,85603.23589085299,22834.907570109026

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.217.168.228","192.168.119.140",17,5851,8,4839,9,1012,0,10.104574747,3831.1359922883853,801.2212490588646
"192.0.77.48","192.168.119.140",75,23106,33,19185,42,3921,0.048672898,0.55558774,276247.9964010725,56459.12920972662
"34.192.145.89","192.168.119.140",22,7138,9,5855,13,1283,1.6653009760000002,0.7348268789999999,63742.90508227314,13967.91583613261
"52.39.105.74","192.168.119.140",10,1304,4,565,6,739,4.443781936,10.738490237,420.91578054670254,550.5429412814392
"104.99.235.115","192.168.119.140",140,108041,87,103035,53,5006,5.069746989,3.331022998,247455.511563538,12022.732963430593
"104.99.232.36","192.168.119.140",20,5389,9,4223,11,1166,8.730496124,0.57345647,58912.92847389096,16266.273881259025
"23.206.93.218","192.168.119.140",960,247813,436,193245,524,54568,8.860793302,7.221894765,214065.70578850023,60447.29454043769
"104.81.141.56","192.168.119.140",52,14796,24,12174,28,2622,9.028299272,3.5071183119999993,27769.807384815715,5980.978722111615
"23.206.84.93","192.168.119.140",88,20737,40,15815,48,4922,10.915275328,1.6243131050000006,77891.38658707058,24241.631664973844
"104.18.40.122","192.168.119.140",4,294,2,147,2,147,12.05965941,0.024414367000000325,48168.35922880918,48168.35922880918
"13.227.209.198","192.168.119.140",3,276,1,105,2,171,12.125677899,0.028371674000000624,29606.994638384098,48217.105553939815
"34.117.237.239","192.168.119.140",3,276,1,105,2,171,12.12940057,0.035515244000000834,23651.815541517335,38518.671024756804
"34.120.208.123","192.168.119.140",6,552,2,210,4,342,14.626540712,0.22602833899999908,7432.696304510767,12104.676838774678

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"34.117.237.239","192.168.119.140",19,1722,7,696,12,1026,0,29.624087574,187.95515595514354,277.07182472697883
"47.91.64.21","192.168.119.140",149,53473,66,45209,83,8264,0.029017408,18.347680443999998,19712.13751535949,3603.2892660074504
"104.18.40.122","192.168.119.140",7,534,3,240,4,294,0.043438611,29.429384386000002,65.24091618149419,79.92012232233039
"23.206.84.93","192.168.119.140",9,751,5,383,4,368,2.146083093,0.05220479300000003,58691.92891924691,56393.28940543828
"52.222.143.3","192.168.119.140",24,2208,8,840,16,1368,4.713905604,8.544831558999999,786.4403123221356,1280.774222924621
"172.217.168.228","192.168.119.140",2,132,1,66,1,66,5.017215366,0.04401642699999986,11995.521581067944,11995.521581067944
"13.227.209.198","192.168.119.140",6,552,2,210,4,342,5.515866227,24.114099861,69.66878339577097,113.46059010168416
"142.250.179.132","192.168.119.140",2,132,1,66,1,66,6.409872692,0.04336189299999926,12176.590168699715,12176.590168699715
"104.18.169.12","192.168.119.140",3,240,1,93,2,147,13.237808225,0.0320243480000002,23232.323106156455,36722.05910327956
"47.246.48.251","192.168.119.140",484,143513,211,119753,273,23760,13.414724305,16.060644901,59650.406686991104,11835.14118963958
"47.246.48.252","192.168.119.140",1929,573508,840,478612,1089,94896,13.543197117,17.148119925000003,223283.71954163362,44271.20893254424
"69.192.67.191","192.168.119.140",24,7381,11,6092,13,1289,16.368504602,0.9532828759999994,51124.3841959037,10817.355749921187
"192.0.77.48","192.168.119.140",36,2454,18,1341,18,1113,17.874357845,1.6339612690000003,6565.639102673246,5449.333572912246
"104.99.235.115","192.168.119.140",4,356,2,178,2,178,25.560148795,0.07312628800000098,19473.16127956585,19473.16127956585

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.0.77.48","192.168.119.140",28,1773,14,969,14,804,0,0.09329122,83094.63634412756,68945.39486138138
"87.248.116.11","192.168.119.140",3,276,1,105,2,171,0.122870457,0.023918798000000005,35118.82160633656,57193.509473176695
"151.101.129.69","192.168.119.140",299,93110,143,77506,156,15604,0.51926528,11.180095202999999,55459.99284814856,11165.557871681034
"23.198.19.183","192.168.119.140",6,420,3,222,3,198,0.929303284,0.03044981400000002,58325.4794265738,52020.02219126852
"34.117.237.239","192.168.119.140",9,828,3,315,6,513,2.281639943,9.419485026,267.53054896782635,435.6926083190315
"151.101.193.69","192.168.119.140",214,65943,102,54479,112,11464,2.349413141,9.31149515,46805.802180974126,9849.331232267246
"104.18.40.122","192.168.119.140",3,240,1,93,2,147,3.037338292,0.018289659000000125,40678.72451859244,64298.62907777515
"151.101.1.69","192.168.119.140",306,131677,155,117071,151,14606,5.592068555,6.131426664,152748.78936397567,19057.228668502263
"142.251.39.106","192.168.119.140",19,7029,8,5880,11,1149,6.576206143,0.7926480939999996,59345.3770419336,11596.57112605131
"142.250.179.168","192.168.119.140",19,6994,8,5840,11,1154,6.917501419,0.8999667709999999,51913.02779777855,10258.15652031446
"172.217.168.228","192.168.119.140",4,264,2,132,2,132,7.608555653,1.2738949989999995,828.95372132629,828.95372132629
"52.222.143.3","192.168.119.140",15,1380,5,525,10,855,7.760729569,3.896591676,1077.865054701205,1755.3802319419624
"151.101.65.69","192.168.119.140",69,21486,33,17886,36,3600,8.374865045,2.6167447740000007,54681.67985724998,11006.040897131832
"142.251.36.40","192.168.119.140",19,6993,8,5839,11,1154,8.421270968,0.8314648739999999,56180.364872515354,11103.295266806426
"13.227.209.198","192.168.119.140",3,276,1,105,2,171,8.550536611,0.02683099799999944,31307.072513665633,50985.80380796974
"142.250.179.202","192.168.119.140",4,264,2,132,2,132,8.942604184,0.17075826399999983,6184.180930768897,6184.180930768897

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
