"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"142.250.179.132","192.168.119.140",34,11699,16,9675,18,2024,1.916127905,11.548775973,6702.008955836899,1402.0533464200398
"13.227.209.198","192.168.119.140",25,7220,12,5815,13,1405,1.9219506389999998,0.5640575729999999,82473.85059042547,19927.043865786378
"142.251.36.36","192.168.119.140",15,5718,7,4772,8,946,4.690117082,0.14647575299999982,260630.16723320785,51667.25444312964
"151.101.2.133","192.168.119.140",13,1966,6,1177,7,789,6.491302362,0.14743569899999986,63865.12943517166,42811.88370802926
"192.168.119.140","199.232.194.133",567,454017,184,17366,383,436651,6.727867399,7.814107932,17779.124784169926,447038.616614798
"34.117.237.239","192.168.119.140",3,276,1,105,2,171,12.767139232,0.025608102999999716,32802.11736105596,53420.59113086257
"13.227.219.68","192.168.119.140",24,8269,11,7006,13,1263,13.636768619,0.7388282480000008,75860.66200327514,13675.708836730873
"87.248.116.11","192.168.119.140",1,105,0,0,1,105,14.580210355,0,0,0

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.64.147.134","192.168.119.140",4,294,2,147,2,147,0,0.026933702,43662.768675468375,43662.768675468375
"142.251.36.46","192.168.119.140",7,618,3,276,4,342,0.077944786,0.253258673,8718.35887728907,10803.183826206023
"192.0.77.48","192.168.119.140",26,1695,14,984,12,711,0.141356146,1.3545987800000001,5811.3148455663,4199.029324387845
"13.227.209.198","192.168.119.140",4,342,2,171,2,171,0.27522389,0.029489975999999973,46388.64405993417,46388.64405993417
"172.217.168.228","192.168.119.140",34,11699,16,9675,18,2024,0.472051384,16.053924746,4821.250954180847,1008.6007164095124
"142.251.36.36","192.168.119.140",72,23688,35,19550,37,4138,3.205973954,14.726680581,10620.18009691766,2247.892851204362
"104.18.40.122","192.168.119.140",22,1734,8,705,14,1029,5.12912948,12.556908515,449.15513983897176,655.5753743181588
"142.250.179.132","192.168.119.140",4,264,2,132,2,132,8.118229097,1.4555915499999994,725.4782428491018,725.4782428491018
"104.16.65.85","192.168.119.140",221,132553,137,123341,84,9212,9.369364274,8.166085095999998,120832.44154329595,9024.642669484132
"34.117.237.239","192.168.119.140",6,552,2,210,4,342,10.627307185,7.186962698000002,233.7566049240123,380.68932801910574
"192.168.119.140","199.232.194.133",4,356,2,178,2,178,11.390899722,0.045639808999998976,31200.831712508523,31200.831712508523
"87.248.116.11","192.168.119.140",3,276,1,105,2,171,12.412762504,0.04959122400000027,16938.480889279836,27585.5260196843
"104.18.169.12","192.168.119.140",15,4454,6,3538,9,916,15.9101818,1.197512788000001,23635.655738817863,6119.350100835829

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"34.117.237.239","192.168.119.140",6,552,2,210,4,342,0,0.780081338,2153.6215752927037,3507.3265654766888
"13.227.209.198","192.168.119.140",12,1104,4,420,8,684,0.717251128,7.072542022,475.0767106859616,773.6963574028517
