"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"13.227.219.26","192.168.119.140",93,71052,58,67665,35,3387,79.71767217,38.488741579000006,14064.372535769051,703.9980754991469
"156.146.33.8","192.168.119.140",32,7018,16,5412,16,1606,79.722619738,15.14574533199999,2858.6245873634257,848.2910360875206
"172.64.146.158","192.168.119.140",56,12117,25,8459,31,3658,80.034055664,69.925639977,967.7709066696955,418.50171138405796
"13.227.219.62","192.168.119.140",38,12206,18,7258,20,4948,85.063187855,33.14723683400001,1751.699554650124,1194.1870207231761
"192.168.119.140","216.239.32.21",163,108997,77,6587,86,102410,87.568160594,30.410098312999992,1732.8454336983523,26941.050685448346
"35.190.10.96","192.168.119.140",68,21516,33,11635,35,9881,87.966787851,29.88675922099999,3114.4226549192776,2644.9170823598956
"34.102.232.42","192.168.119.140",34,8361,15,5534,19,2827,88.708648472,29.49749813800001,1500.8730500762981,766.7090915369886
"91.198.174.194","192.168.119.140",28,7731,12,6126,16,1605,90.433723327,27.413604495,1787.7255071998513,468.38058097547525
"91.198.174.192","192.168.119.140",48,14346,19,10768,29,3578,90.764558182,27.430507809999995,3140.4449599214336,1043.509664431546
"142.251.39.110","192.168.119.140",260,115803,130,100328,130,15475,91.54155515,170.425504104,4709.529857163919,726.417097316917
"91.198.174.208","192.168.119.140",20,5852,8,4660,12,1192,91.787989469,20.475593145000005,1820.704276354676,465.7252140375051
"52.20.124.79","192.168.119.140",50,15471,19,7888,31,7583,94.86319552,23.200594799,2719.930266732641,2614.7605492689677
"104.108.166.27","192.168.119.140",83,47360,46,43061,37,4299,103.425106783,14.554017760999997,23669.61519884324,2363.05881748745
"13.36.218.177","192.168.119.140",54,17473,25,13073,29,4400,103.64054388,135.204208329,773.5262185442473,260.3469258467596
"80.67.93.35","192.168.119.140",67,17493,31,13357,36,4136,103.641385089,134.753911019,792.9714187288675,245.54389367841554
"52.222.139.127","192.168.119.140",10,1020,4,286,6,734,104.233639185,0.18347978599999237,12470.038525116304,32003.52544557821
"13.227.216.166","192.168.119.140",26,5788,12,4328,14,1460,104.235092954,5.668107053,6108.5649364498695,2060.652681889281
"34.252.39.216","192.168.119.140",26,9367,11,6767,15,2600,104.588536352,1.4941509209999992,36231.949021433575,13920.949823515191
"23.76.204.146","192.168.119.140",116,78377,61,73130,55,5247,105.556276323,12.412504227999989,47133.11586877637,3381.7511139541857
"52.222.139.54","192.168.119.140",56,19445,26,15413,30,4032,105.621123662,12.584922425999991,9797.756062862845,2563.067050247388
"13.227.219.8","192.168.119.140",38,11131,18,8418,20,2713,106.559357962,11.312128726999987,5953.2561576374355,1918.6486048551155
"52.31.4.32","192.168.119.140",28,11358,12,8861,16,2497,106.720093321,3.944367771000003,17971.954978738708,5064.436472397083
"157.240.247.35","192.168.119.140",155,37649,64,22759,91,14890,107.973055628,71.077144995,2561.611049695483,1675.9255033158638
"15.188.95.229","192.168.119.140",38,9452,18,5718,20,3734,107.974769558,10.243487475999999,4465.666610827221,2916.194320536699
"52.222.139.53","192.168.119.140",41,12377,19,9584,22,2793,110.366020283,7.839271264000004,9780.500944277563,2850.2649350341435
"13.227.219.60","192.168.119.140",84,30610,40,25532,44,5078,110.367809005,102.16664603000001,1999.2434707117886,397.62487640116177
"52.222.139.45","192.168.119.140",34,9495,16,7245,18,2250,110.7218539,7.4839514039999955,7744.57193415523,2405.1465634022456
"2.16.233.161","192.168.119.140",116,70065,62,64961,54,5104,112.436917821,5.560893485000008,93454.04680053843,7342.704928648699
"2.21.19.236","192.168.119.140",208,134041,113,117868,95,16173,116.608396607,33.202131914000006,28400.104018694004,3896.858199802645
"104.68.84.169","192.168.119.140",54,14763,25,9305,29,5458,118.3657748,31.45153552900001,2366.8160790229877,1388.2946974000502
"2.16.232.28","192.168.119.140",155,103354,81,95719,74,7635,118.373319433,22.596082174999992,33888.70663814535,2703.123467464555
"104.68.70.99","192.168.119.140",23,5256,11,4024,12,1232,118.374290748,9.248188922999987,3480.8977485245136,1065.722173504523
"172.217.168.227","192.168.119.140",111,29596,50,21574,61,8022,118.521551219,149.01540625500002,1158.2158136364435,430.6668794378209
"142.250.179.130","192.168.119.140",329,203746,161,189645,168,14101,118.523294107,31.437468943,48259.61029976039,3588.3295886362475
"34.96.102.137","192.168.119.140",185,77106,92,67664,93,9442,119.532171842,69.44476511300002,7794.856806257189,1087.7133773451228
"52.222.139.108","192.168.119.140",32,9167,15,7085,17,2082,119.864649488,8.573433061000003,6611.120609063093,1942.7456750980043
"108.156.60.88","192.168.119.140",32,9218,15,7152,17,2066,119.932523734,8.512866465000002,6721.12034591864,1941.5316882924928
"13.227.219.86","192.168.119.140",34,9481,16,7282,18,2199,119.938333499,8.50687284300001,6848.1098842257525,2067.97495679929
"2.21.16.105","192.168.119.140",32,7427,15,5394,17,2033,120.088175774,8.367531907,5157.076241788868,1943.7033740372208
"192.168.119.140","199.232.148.157",31,7083,16,2055,15,5028,120.114544514,8.330386563999994,1973.4978531543704,4828.587448009817
"142.250.179.166","192.168.119.140",36,9509,16,6927,20,2582,120.116305579,8.328812741000007,6653.529347250809,2480.0653637363343
"95.101.239.65","192.168.119.140",80,51402,46,48165,34,3237,120.117968779,8.420133804000017,45761.74309925482,3075.4855686138867
"52.223.40.198","192.168.119.140",60,14126,26,9747,34,4379,120.148156789,47.401816049999994,1645.0002657651344,739.0434147722913
"157.240.201.35","192.168.119.140",73,17717,30,9665,43,8052,120.426175577,92.09872616,839.533870052389,699.4233545433871
"34.242.116.160","192.168.119.140",26,9295,11,6649,15,2646,121.595720867,5.956473177000007,8930.116600775207,3553.78079796228
"104.18.41.98","192.168.119.140",26,5851,11,4073,15,1778,123.987720242,4.457573654000015,7309.80630477315,3190.9736336574174
"3.94.178.28","192.168.119.140",30,8832,13,6621,17,2211,124.398511007,6.034467183000004,8777.576941543202,2931.1618513445133
"52.222.139.77","192.168.119.140",67,19185,31,14388,36,4797,124.40052093,137.57660844699998,836.6538563446464,278.94276820164504
"52.222.139.24","192.168.119.140",28,8180,13,6648,15,1532,124.49335259,3.540471953000008,15021.726116184793,3461.685380564847
"35.201.67.47","192.168.119.140",101,26649,45,19047,56,7602,124.516786029,25.282921568999996,6026.835133912368,2405.418212211993
"35.190.91.160","192.168.119.140",50,10045,22,7087,28,2958,124.52038165,5.832163852999983,9721.263227341662,4057.4991712257142
"34.199.154.34","192.168.119.140",30,7146,13,4660,17,2486,125.202961105,6.624772243999999,5627.363270301736,3002.065469950668
"44.196.120.159","192.168.119.140",30,8693,13,6592,17,2101,125.691343423,7.041505890999986,7489.307090888594,2386.989411097836
"52.222.139.15","192.168.119.140",64,18837,30,14498,34,4339,126.005680651,41.513149803999994,2793.909894758802,836.1687842018514
"99.83.154.140","192.168.119.140",37,10504,16,7813,21,2691,127.07934017,22.943123380000003,2724.3021346642818,938.3203691772152
"142.251.36.6","192.168.119.140",108,30053,48,22116,60,7937,127.489189556,61.691680481999995,2867.9393820634036,1029.2473718320327
"52.18.158.197","192.168.119.140",28,11300,12,8803,16,2497,127.993810832,12.299232027000002,5725.885961448736,1624.1664484536516
"54.88.95.78","192.168.119.140",29,11243,12,7139,17,4104,128.38316718,11.968842815000016,4771.722787471491,2743.122330828267
"151.101.2.202","192.168.119.140",23,5509,11,4307,12,1202,128.384771369,11.377364247000003,3028.46944617119,845.1869687248133
"35.190.59.101","192.168.119.140",40,10052,18,6977,22,3075,128.391633491,21.40661856700001,2607.41787990957,1149.1772940693604
"15.236.176.210","192.168.119.140",33,10729,15,5642,18,5087,128.573055758,21.238004176999993,2125.246780433384,1916.1875881007843
"13.227.219.89","192.168.119.140",28,8118,13,6597,15,1521,128.931631537,7.035380905000011,7501.512812546134,1729.5438817466531
"151.101.1.44","192.168.119.140",90,37463,44,31555,46,5908,129.253518961,20.53919547199999,12290.646941071194,2301.1612146363054
"95.101.238.27","192.168.119.140",101,66269,61,61608,40,4661,129.254825332,20.549965406000013,23983.690009331964,1814.5042710929797
"104.244.42.131","192.168.119.140",28,7009,13,4828,15,2181,129.581627663,20.379017208999983,1895.282760885176,856.1747517586099
"54.155.18.159","192.168.119.140",62,16994,28,11722,34,5272,129.583187475,14.923494454000007,6283.782949700821,2826.147731685952
"54.157.4.134","192.168.119.140",33,11972,13,6897,20,5075,129.584736767,20.283601629999993,2720.226960008582,2001.616909097224
"104.244.42.133","192.168.119.140",28,6693,13,4581,15,2112,129.586363403,20.37506142699999,1798.669423957463,829.2490337040301
"95.101.238.30","192.168.119.140",24,6241,11,4995,13,1246,129.62341421,6.792750710000007,5882.742015126882,1467.4467569265455
"52.222.139.73","192.168.119.140",26,6032,12,4569,14,1463,130.036105916,8.893331004999993,4110.046053548417,1316.0423235590576
"34.110.181.170","192.168.119.140",58,12568,27,8592,31,3976,130.591399626,19.351903924,3551.898576488613,1643.6625628629802
"151.101.194.133","192.168.119.140",42,10847,20,6481,22,4366,131.279268852,18.664218398000003,2777.9357749883525,1871.388303286398
