"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"91.198.174.192","192.168.119.140",52,14368,21,10940,31,3428,91.924668249,62.797309552,1393.6902810705305,436.7066072678043
"91.198.174.208","192.168.119.140",20,5853,8,4661,12,1192,94.657992377,59.181829824000005,630.0582477914294,161.13053665895384
"104.124.176.22","192.168.119.140",80,46643,45,42867,35,3776,103.68855169,51.046907871,6718.056280051855,591.7694383436163
"52.222.139.86","192.168.119.140",11,1086,5,352,6,734,105.255254332,0.32053376899999364,8785.34579612439,18319.442654418468
"13.227.216.166","192.168.119.140",26,5788,12,4328,14,1460,105.264668942,29.704943373999996,1165.5972396266384,393.2005475635148
"3.220.198.243","192.168.119.140",32,9679,14,6976,18,2703,106.235062047,48.58021458500001,1148.7804341076685,445.1194829978538
"52.222.139.81","192.168.119.140",94,31361,44,24901,50,6460,106.310075124,48.43078039200002,4113.251911028589,1067.0899700913492
"13.36.218.177","192.168.119.140",42,9449,20,5889,22,3560,109.168912242,31.115095282999988,1514.120383418529,915.3113542146311
"23.48.229.10","192.168.119.140",152,117209,90,110741,62,6468,116.771127058,37.962256402999984,23337.074345506742,1363.0380515503527
"142.250.179.130","192.168.119.140",24,7385,10,5899,14,1486,118.199070826,16.75027955499999,2817.3858140721654,709.7194981710862
"95.101.125.221","192.168.119.140",23,5383,11,4011,12,1372,118.20010437,10.834751214999997,2961.5816148668264,1013.0366431307119
"23.48.228.26","192.168.119.140",92,79570,60,76544,32,3026,118.303344148,16.250494423000006,37682.053484681215,1489.6777519419595
"104.73.132.208","192.168.119.140",34,8334,16,5290,18,3044,118.375097325,36.361178906000006,1163.8786550184357,669.7252600900034
"52.222.139.94","192.168.119.140",32,9061,15,7086,17,1975,122.699252102,32.040695338000006,1769.2499929228593,493.1228811773422
"23.48.228.88","192.168.119.140",32,7320,15,5394,17,1926,122.981055582,31.765484690999997,1358.4555822070017,485.05477406946335
"47.91.64.21","192.168.119.140",124,64113,62,58054,62,6059,130.127350437,24.618358375000014,18865.2709057819,1968.937134704457
"47.246.48.252","192.168.119.140",81,58240,47,55533,34,2707,133.169769593,21.767167572999995,20409.821282906156,994.8928783394912
"47.246.48.251","192.168.119.140",75,21875,32,17776,43,4099,133.263477685,21.479301743000008,6620.69939244393,1526.6790509466512
"2.16.42.31","192.168.119.140",62,16905,29,13227,33,3678,133.301365454,21.440881419999982,4935.244868305423,1372.3316417651279
"47.74.138.66","192.168.119.140",280,100757,122,86614,158,14143,134.065079767,20.847865085000024,33236.59267627111,5427.126448616878
"47.88.251.189","192.168.119.140",50,19465,22,17043,28,2422,135.756424934,3.1833561880000047,42830.268417327294,6086.657871663832
"47.88.198.69","192.168.119.140",128,38623,57,29207,71,9416,139.032772548,15.869300239000012,14723.77461394124,4746.775148590088
"47.88.198.68","192.168.119.140",25,9732,11,8521,14,1211,139.193878555,3.5843208000000004,19018.38697027342,2702.883067832544
